model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
baseline,empty_room,42,wave,69.23076923076923,73.25581395348837,71.1864406779661,72.36842105263158,63.95348837209303,67.90123456790124,86,0.3109488785266876,0.31809717416763306
baseline,empty_room,42,lie_down,79.56989247311827,80.43478260869566,80.0,76.47058823529412,70.65217391304348,73.44632768361582,92,0.3151892125606537,0.33343321084976196
baseline,empty_room,42,pick_up,72.1311475409836,66.66666666666666,69.29133858267717,68.75,66.66666666666666,67.6923076923077,66,0.2531949281692505,0.2997862696647644
baseline,empty_room,42,sit_down,64.63414634146342,68.83116883116884,66.66666666666666,61.79775280898876,71.42857142857143,66.26506024096386,77,0.29458868503570557,0.3371749520301819
baseline,empty_room,42,stand_up,63.725490196078425,73.03370786516854,68.06282722513089,60.60606060606061,67.41573033707866,63.829787234042556,89,0.3720878064632416,0.36679092049598694
baseline,empty_room,43,walk,94.05940594059405,100.0,96.93877551020408,95.0,100.0,97.43589743589743,95,0.30678507685661316,0.3089624047279358
baseline,empty_room,43,rotation,63.2,85.86956521739131,72.81105990783409,66.15384615384615,93.47826086956522,77.47747747747748,92,0.38995325565338135,0.41243976354599
baseline,empty_room,43,jump,58.4,92.40506329113924,71.56862745098039,56.557377049180324,87.34177215189874,68.65671641791045,79,0.38558655977249146,0.3939152657985687
baseline,empty_room,43,wave,86.53846153846155,52.32558139534884,65.21739130434783,74.60317460317461,54.65116279069767,63.08724832214765,86,0.2098485380411148,0.27593016624450684
baseline,empty_room,43,lie_down,79.3103448275862,75.0,77.09497206703911,76.47058823529412,70.65217391304348,73.44632768361582,92,0.32726117968559265,0.3466087281703949
baseline,empty_room,43,pick_up,82.53968253968253,78.78787878787878,80.62015503875969,63.1578947368421,72.72727272727273,67.6056338028169,66,0.2487908899784088,0.3284049928188324
baseline,empty_room,43,sit_down,63.1578947368421,77.92207792207793,69.76744186046511,58.0952380952381,79.22077922077922,67.03296703296702,77,0.3324631452560425,0.3699130415916443
baseline,empty_room,43,stand_up,63.541666666666664,68.53932584269663,65.94594594594595,63.829787234042556,67.41573033707866,65.57377049180327,89,0.3318787217140198,0.35698458552360535
strict_lejepa,classroom,39,walk,94.84536082474226,96.84210526315789,95.83333333333334,94.6236559139785,92.63157894736842,93.61702127659575,95,0.2791338562965393,0.2709476947784424
